unix;low;high;open;close;volume;date
1440633600;196.95;201.62;199.3;198.07;545.80639619;2015-08-27 02:00:00;None
1440720000;194.53;210.29;197.43;207.74;760.42280177;2015-08-28 02:00:00;None
1440806400;204.08;209.22;207.33;206.48;219.32169257;2015-08-29 02:00:00;None
1440892800;202.8;208.52;206.89;203.15;199.59420174;2015-08-30 02:00:00;None
1440979200;201.87;208.51;203.15;206.52;354.74924397;2015-08-31 02:00:00;None
1441065600;202.96;208.23;206.8;204.21;1468.30678148;2015-09-01 02:00:00;None
1441152000;203.16;206.73;204.23;205.52;359.32431344;2015-09-02 02:00:00;None
1441238400;202.64;206.53;205.64;203.16;1348.49879539;2015-09-03 02:00:00;None
1441324800;203.69;208.45;203.69;206.77;337.92531062;2015-09-04 02:00:00;None
1441411200;205.98;212.54;207.0;211.22;277.30680079;2015-09-05 02:00:00;None
1441497600;210.73;218.82;211.39;215.47;306.47981514;2015-09-06 02:00:00;None
1441584000;214.09;217.41;215.95;215.23;506.38428127;2015-09-07 02:00:00;None
1441670400;215.13;222.5;215.23;218.59;374.25592549;2015-09-08 02:00:00;None
1441756800;213.64;219.0;218.42;213.66;355.75895428;2015-09-09 02:00:00;None
1441843200;211.87;216.0;213.68;213.45;939.28070646;2015-09-10 02:00:00;None
1441929600;213.11;216.08;213.51;215.49;633.49150897;2015-09-11 02:00:00;None
1442016000;210.56;216.06;215.35;211.62;407.18902698;2015-09-12 02:00:00;None
1442102400;205.52;211.73;211.73;206.51;224.68019137;2015-09-13 02:00:00;None
1442188800;202.01;208.14;206.58;206.76;506.95966404;2015-09-14 02:00:00;None
1442275200;204.29;207.87;206.74;206.45;514.03764593;2015-09-15 02:00:00;None
1442361600;203.3;207.57;206.38;205.31;749.8785666;2015-09-16 02:00:00;None
1442448000;203.78;207.87;205.6;204.85;301.04137763;2015-09-17 02:00:00;None
1442534400;203.78;208.91;206.81;208.61;227.82013109;2015-09-18 02:00:00;None
1442620800;206.0;208.91;208.7;207.79;219.89804077;2015-09-19 02:00:00;None
1442707200;205.81;208.36;207.79;206.93;231.238352;2015-09-20 02:00:00;None
1442793600;202.75;206.99;206.93;203.43;535.0888586;2015-09-21 02:00:00;None
1442880000;201.28;208.07;203.47;206.61;1808.00301755;2015-09-22 02:00:00;None
1442966400;205.88;208.21;207.04;206.06;521.16819876;2015-09-23 02:00:00;None
1443052800;205.93;211.18;206.1;210.48;1204.63352647;2015-09-24 02:00:00;None
