unix;low;high;open;close;volume;date
1529712000;392.98;414.58;397.74;407.99;3230.19571491;2018-06-23 02:00:00
1529798400;362.89;408.95;408;391.79;10564.05747495;2018-06-24 02:00:00
1529884800;382.36;406.94;390.76;392.24;6062.57224172;2018-06-25 02:00:00
1529971200;368.46;395.37;393.52;369.14;7242.51189757;2018-06-26 02:00:00
1530057600;362.28;387;368.99;381.77;5115.51959882;2018-06-27 02:00:00
1530144000;361.1;383.91;383;365;4755.01381465;2018-06-28 02:00:00
1530230400;348;377.21;364.62;373.59;10857.46744328;2018-06-29 02:00:00
1530316800;371.54;393.65;371.54;388.01;4978.33973122;2018-06-30 02:00:00
1530403200;380.69;389.92;388.51;387.24;2113.42991678;2018-07-01 02:00:00
1530489600;381.89;414.87;387.61;409.09;8024.09504037;2018-07-02 02:00:00
1530576000;394.61;418.9;410.64;397.45;7351.83964443;2018-07-03 02:00:00
1530662400;386.7;414.85;396.9;401.4;5669.37366306;2018-07-04 02:00:00
1530748800;393.4;410;401.39;400.85;4638.04787029;2018-07-05 02:00:00
1530835200;387.12;404;400.85;401.01;4784.64966216;2018-07-06 02:00:00
1530921600;395.1;411.34;401.07;411.34;2495.30620257;2018-07-07 02:00:00
1531008000;410.95;420;411.34;414.07;4691.29915365;2018-07-08 02:00:00
1531094400;400;415.38;414.15;401.57;5705.38267615;2018-07-09 02:00:00
1531180800;365.12;402.95;402;370.31;11280.34340602;2018-07-10 02:00:00
1531267200;363.6;383.1;370.31;382.12;6051.20860536;2018-07-11 02:00:00
1531353600;360;382.15;382.15;370.55;7034.73243629;2018-07-12 02:00:00
1531440000;365.13;380;370.06;370.99;5874.42787686;2018-07-13 02:00:00
1531526400;368.8;377.5;370.99;372.58;2881.27227291;2018-07-14 02:00:00
1531612800;370.58;388.89;372.4;385.4;3855.09827276;2018-07-15 02:00:00
1531699200;381.35;409.66;385.4;408.48;10134.81532305;2018-07-16 02:00:00
1531785600;397.13;438.37;408.11;427.55;16335.18939459;2018-07-17 02:00:00
1531872000;402.01;439.99;427.55;411.16;14227.12793766;2018-07-18 02:00:00
1531958400;395.9;417.74;411.03;402.52;8564.95412296;2018-07-19 02:00:00
1532044800;377;403.33;402.52;383;9529.92597843;2018-07-20 02:00:00
1532131200;376.76;408.3;383.01;395.4;6312.17968858;2018-07-21 02:00:00
1532217600;388.5;401.57;395.79;391.25;3962.36258729;2018-07-22 02:00:00
1532304000;383.1;401.9;390.58;385;7567.6358004;2018-07-23 02:00:00
1532390400;385.03;414.14;385.15;411.65;11588.57060357;2018-07-24 02:00:00
1532476800;397.15;415.97;410.76;402.59;8496.67904419;2018-07-25 02:00:00
1532563200;395.05;413.71;402.83;397.81;8335.49478832;2018-07-26 02:00:00
1532649600;392.4;407.05;397.4;403.73;6312.96672764;2018-07-27 02:00:00
1532736000;397.8;405.68;403.88;401.14;2185.95521327;2018-07-28 02:00:00
1532822400;397.44;403.78;401.14;400.8;2770.73288725;2018-07-29 02:00:00
1532908800;380.27;402.92;400.67;390.19;6876.76220049;2018-07-30 02:00:00
1532995200;366.23;390.72;390.19;369.86;11475.66829782;2018-07-31 02:00:00
1533081600;351;372;369.82;359.8;11672.14223779;2018-08-01 02:00:00
1533168000;351.33;363.98;360.42;355.16;7143.43306302;2018-08-02 02:00:00
1533254400;343.45;362.97;355.16;361.12;7514.24551043;2018-08-03 02:00:00
1533340800;346.06;363.38;360.96;351.6;6923.93827735;2018-08-04 02:00:00
1533427200;347.48;357.71;351.93;354.69;3525.49015834;2018-08-05 02:00:00
1533513600;347.2;357.1;353.98;351.03;5938.6837602;2018-08-06 02:00:00
1533600000;317.97;354.96;350.92;326.46;11696.45562545;2018-08-07 02:00:00
1533686400;302.39;328.64;326.01;307.3;18364.76645075;2018-08-08 02:00:00
1533772800;304.01;322.31;307.4;316.67;14828.93900932;2018-08-09 02:00:00
1533859200;285.81;318.62;316.9;291.45;14887.56117114;2018-08-10 02:00:00
1533945600;268.12;292.94;291.46;281.26;16160.46106109;2018-08-11 02:00:00
1534032000;277.14;288.12;280.78;279.81;5717.04443189;2018-08-12 02:00:00
1534118400;247;283.41;279.8;249.58;22677.23332249;2018-08-13 02:00:00
1534204800;219.13;249.58;249.57;246.36;46203.6472138;2018-08-14 02:00:00
1534291200;244.14;272.29;246.36;248.03;27811.40226161;2018-08-15 02:00:00
1534377600;244.99;264.22;247.82;253.7;13322.22587327;2018-08-16 02:00:00
1534464000;251.72;279.87;253.58;278.97;17954.3392205;2018-08-17 02:00:00
1534550400;247.99;280.98;278.97;259.79;10798.78922376;2018-08-18 02:00:00
1534636800;255.1;269.31;259.79;261.85;5232.82984917;2018-08-19 02:00:00
1534723200;234.91;265.94;261.86;236.98;12620.79133721;2018-08-20 02:00:00
1534809600;235.11;248.92;236.72;243.13;10788.53796352;2018-08-21 02:00:00
1534896000;225.2;258.88;243.51;234.16;14879.67697996;2018-08-22 02:00:00
1534982400;232.44;243.68;234.16;239.73;9351.15363025;2018-08-23 02:00:00
1535068800;233.47;243.95;239.74;242.78;8369.20824885;2018-08-24 02:00:00
1535155200;238.51;243.94;242.78;239.82;3520.58685497;2018-08-25 02:00:00
1535241600;233;239.29;239.29;236.34;4075.03076282;2018-08-26 02:00:00
1535328000;234.12;247.3;236.27;247.3;8811.66909902;2018-08-27 02:00:00
1535414400;242.8;255;247.23;253.68;14572.68685974;2018-08-28 02:00:00
1535500800;243.5;254.81;253.59;247.27;11780.07925096;2018-08-29 02:00:00
