DateTime,Aggregated Exchanges,Binance,Bitfinex,Bitstamp,Coinbase,Gemini,Huobi,Kraken,Luno,Okex,Poloniex,Price
2013-10-07T00:00:00.000Z,39.5246039,,,,2.4661729,,,,-2.941569,,40,137.06
2013-10-08T00:00:00.000Z,20.87371432,,,,11.14696532,,,,-1.373251,,11.1,136.72
2013-10-09T00:00:00.000Z,5.27711129,,,,2.87929129,,,,2.09482,,0.303,138.95
2013-10-10T00:00:00.000Z,23.16104043,,,,-4.80474958,,,,5.96879,,21.99700001,140.1
2013-10-11T00:00:00.000Z,-4.68723543,,,,0.84754399,,,,-5.535,,0.00022058,140.36
2013-10-12T00:00:00.000Z,33.49451087,,,,10.68830087,,,,-6.13379,,28.94,141.22
2013-10-13T00:00:00.000Z,-7.75004457,,,,-16.17084457,,,,8.4208,,,144.57
2013-10-14T00:00:00.000Z,10.0240322,,,,4.0320322,,,,5.992,,,149.86
2013-10-15T00:00:00.000Z,-80.81594935,,,,-3.11856935,,,,-5.69738,,-72,154.36
2013-10-16T00:00:00.000Z,-0.3262266,,,,6.6891934,,,,-7.01542,,,153.6
2013-10-17T00:00:00.000Z,-6.57832421,,,,20.22667579,,,,2.135,,-28.94,155.35
2013-10-18T00:00:00.000Z,-8.23053186,,,,-13.00513323,,,,4.77434,,0.00026137,162.39
2013-10-19T00:00:00.000Z,-3.14632725,,,,-7.16132725,,,,-4.885,,8.9,181.44
2013-10-20T00:00:00.000Z,4.06391693,,,,3.87895693,,,,-3.72434,,3.9093,181.67
2013-10-21T00:00:00.000Z,1444.5342066,,,,1438.9424356,,,,3.210571,,2.3812,190.28
2013-10-22T00:00:00.000Z,-590.9300373,,,,-587.4080373,,,,-3.122,,-0.4,199.15
2013-10-23T00:00:00.000Z,-715.68671957,,,,-724.13672857,,,,8.445409,,0.0046,214.34
2013-10-24T00:00:00.000Z,-87.53548521,,,,-83.81808121,,,,-3.925304,,0.2079,204.34
2013-10-25T00:00:00.000Z,-45.23056799,,,,-39.25219816,,,,-2.85755,,-3.12081983,192.79
2013-10-26T00:00:00.000Z,13.72581197,,,,11.69693797,,,,-1.371126,,3.4,192.7
2013-10-27T00:00:00.000Z,-8.98406228,,,,-10.50406228,,,,-0.18,,1.7,198.38
2013-10-28T00:00:00.000Z,3.23160091,,,,0.65663451,,,,2.576,,-0.0010336,205.11
2013-10-29T00:00:00.000Z,3.98360483,,,,5.74710096,,,,-1.776,,0.01250387,210.35
2013-10-30T00:00:00.000Z,51.39016487,,,,52.06036487,,,,2.723,,-3.3932,210.24
2013-10-31T00:00:00.000Z,1245.9564962,,,,1227.2777616,,,,-1.682735,,20.3614696,210.21
2013-11-01T00:00:00.000Z,3.8933379,,,,-3.99302327,,,,3.455735,,4.43062617,212.33
2013-11-02T00:00:00.000Z,-30.09659213,,,,5.63983075,,,,-2.426919,,-33.30950388,212.93
2013-11-03T00:00:00.000Z,3.51800628,,,,9.57314728,,,,-2.054081,,-4.00106,219.52
2013-11-04T00:00:00.000Z,-9.53042662,,,,-11.41799743,,,,1.875,,0.01257081,230.46
2013-11-05T00:00:00.000Z,20.32077717,,,,5.75458961,,,,11.544037,,3.02215056,243.94
2013-11-06T00:00:00.000Z,19.98897163,,,,19.21869257,,,,0.629868,,0.14041106,261.96
2013-11-07T00:00:00.000Z,-20.51298142,,,,-23.29930614,,,,3.214552,,-0.42822728,293.9
2013-11-08T00:00:00.000Z,5.25387352,,,,7.30855265,,,,-2.225949,,0.17126987,333.01
2013-11-09T00:00:00.000Z,-12.4637205,,,,-11.20003754,,,,-1.419247,,0.15556404,367.49
2013-11-10T00:00:00.000Z,7.34130589,,,,4.50676492,,,,3.201488,,-0.36694703,331.24
2013-11-11T00:00:00.000Z,15.91671556,,,,14.93494957,,,,0.796652,,0.18511399,348.7
2013-11-12T00:00:00.000Z,-18.99591145,,,,-19.30909068,,,,0.232805,,0.08037423,375.38
2013-11-13T00:00:00.000Z,1.53237026,,,,2.23397978,,,,2.07970396,,-2.78131348,408.57
2013-11-14T00:00:00.000Z,32.14082475,,,,11.90835523,,,,4.57585504,,15.65661448,425.02
2013-11-15T00:00:00.000Z,-5.60505343,,,,-6.32570998,,,,0.62644534,,0.09421121,435.45
2013-11-16T00:00:00.000Z,3.59335745,,,,4.84944402,,,,3.989076,,-5.24516257,452.46
2013-11-17T00:00:00.000Z,-3.54595476,,,,-4.73294676,,,,1.176192,,0.0108,496.87
2013-11-18T00:00:00.000Z,48.98675303,,,,55.31675439,,,,-6.411872,,0.08187064,654.95
2013-11-19T00:00:00.000Z,75.32057221,,,,73.46310343,,,,14.11866127,,-12.26119249,701.77
2013-11-20T00:00:00.000Z,-108.68322122,,,,-129.30780268,,,,-3.80736418,,24.43194564,551.64
2013-11-21T00:00:00.000Z,-3.41988375,,,,-6.20403182,,,,1.01431466,,1.76983341,689.76
2013-11-22T00:00:00.000Z,35.61206558,,,,33.04383876,,,,2.56983715,,-0.00161033,752.14
2013-11-23T00:00:00.000Z,-18.52050997,,,,-24.36599057,,,,5.71959041,,0.12589019,844.79
2013-11-24T00:00:00.000Z,-3.31648421,,,,-11.43322385,,,,7.96982048,,0.14691916,800.1
2013-11-25T00:00:00.000Z,18.20267355,,,,10.06300822,,,,6.89269494,,1.24697039,804.47
2013-11-26T00:00:00.000Z,-8.84813545,,,,6.47556745,,,,-13.2785629,,-2.04514,900.02
2013-11-27T00:00:00.000Z,-0.5047095,,,,-9.15881976,,,,11.74469665,,-3.09058639,1004.53
2013-11-28T00:00:00.000Z,-0.270538,,,,10.8475243,,,,-11.14122668,,0.02316438,1128.27
2013-11-29T00:00:00.000Z,-19.42028753,,,,-3.09688162,,,,6.02418187,,-22.34758778,1145.94
2013-11-30T00:00:00.000Z,13.43113242,,,,-1.38677144,,,,14.0579,,0.76000386,1191.55
2013-12-01T00:00:00.000Z,25.81298695,,,,-2.9311824,,,,28.11665062,,0.62751873,1028.55
2013-12-02T00:00:00.000Z,-12.13712321,,,,7.58752687,,,,-19.82876156,,0.10411148,1046.35
2013-12-03T00:00:00.000Z,39.58565284,,,,17.27285386,,,,22.1607879,,0.15201108,1125.27
2013-12-04T00:00:00.000Z,35.7569339,,,,-1.59221078,,,,36.07825092,,1.27089376,1185.53
2013-12-05T00:00:00.000Z,38.9386084,,,,18.56041096,,,,19.32270122,,1.05549622,1054.93
2013-12-06T00:00:00.000Z,44.6878635,,,,17.68176549,,,,16.31045271,,10.6956453,959.5
2013-12-07T00:00:00.000Z,-18.2927545,,,,-11.67534774,,,,-10.50099227,,3.88358551,736
2013-12-08T00:00:00.000Z,13.04936532,,,,-6.28568326,,,,10.25522856,,9.07982002,741
2013-12-09T00:00:00.000Z,25.59972411,,,,32.26385751,,,,-6.69727834,,0.03314494,883.88
