Date;Risk
2015-05-11;13.885714285714
2015-05-18;14.285714285714
2015-05-25;15.042857142857
2015-06-01;16.4
2015-06-08;15.428571428571
2015-06-15;16.628571428571
2015-06-22;17.428571428571
2015-06-29;19.428571428571
2015-07-06;22.142857142857
2015-07-13;23.342857142857
2015-07-20;23.428571428571
2015-07-27;23.528571428571
2015-08-03;21.342857142857
2015-08-10;19.9
2015-08-17;15.914285714286
2015-08-24;13.671428571429
2015-08-31;14.057142857143
2015-09-07;15
2015-09-14;14.914285714286
2015-09-21;14.857142857143
2015-09-28;14.671428571429
2015-10-05;15.185714285714
2015-10-12;16.128571428571
2015-10-19;18.242857142857
2015-10-26;25.128571428571
2015-11-02;36.6
2015-11-09;30.757142857143
2015-11-16;30.214285714286
2015-11-23;31.928571428571
2015-11-30;31.971428571429
2015-12-07;36.885714285714
2015-12-14;39.157142857143
2015-12-21;36.828571428571
2015-12-28;35.785714285714
2016-01-04;35.642857142857
2016-01-11;34.657142857143
2016-01-18;33.042857142857
2016-01-25;31.171428571429
2016-02-01;29.142857142857
2016-02-08;29.471428571429
2016-02-15;31.5
2016-02-22;32.957142857143
2016-02-29;33.642857142857
2016-03-07;32.028571428571
2016-03-14;29.814285714286
2016-03-21;24.228571428571
2016-03-28;22.2
2016-04-04;21.585714285714
2016-04-11;21.014285714286
2016-04-18;20.814285714286
2016-04-25;22.428571428571
